section,from,body
prologue,1," ｡●CoLa FloaT●｡

Falling in love
    with someone...

...doesn't feel
    clear like soda.


Wanting to be
  next to someone
    feels cloudy,
      dark, and just
        a bit bitter.


But I know--


If my wish
    comes true...


Sweet and white
    bliss upon bliss
        awaits me.


Falling in love
    feels like a...

      CoLa FloaT"
1,1,"""Oh NO! I have to hurry or I'm gonna be late!!!""


It was a normal sunny morning. Ayaka pushed open the door and went out in her school uniform.


Ayaka didn't take school that seriously compared to other people in her class. Her hair was dyed brown and she wore light makeup too.


So, she didn't really care about being late.


(But like, being late is still kind of embarrassing, right?!)


But! Just as she started running--


BAM!!!!!!!!!


Ayaka ran right into somebody..."
1,1,"""OUCH!!!""


She heard a voice behind her.


Ayaka fell to the hard ground after running into somebody.


(It huuuuuurts...)


But that voice just now sounded super angry...?


Ayaka turned around nervously, and there she saw--


A blond-haired delinquent in a black gakuran uniform!!!


Now that she thought about it, she'd heard that there were still boys like this at the high school near her house.


No WAY! At this rate, this boy was going to get really mad at Ayaka!!! TROUBLE ALERT!!!!!!"
1,1,"""You picking a fight with ME?!""


(No waaaay.)


The boy in the black uniform that Ayaka ran into slowly got up on his two feet.


(He's huge.........)


He was only a bit taller than Ayaka, but those big shoulders and chest...


Even with his clothes on, it was clear that he was super strong.


Ayaka should have run, but her feet wouldn't move. She just sat on the ground and looked at the face of the delinquent in front of her.


Flushed cheeks and messy blond hair. His hair was long for a boy, and it was a bit curly at the ends.


The delinquent looked at Ayaka--did he notice her looking at him?


Then.........


He smirked.


(EEK! Super creepy!!!)


(Help me!!! Somebody, ANYBODY!!!!!!)


Ayaka held back the urge to shriek without caring about anyone noticing and just shut her eyes tight........."
1,1,"""Hey. What are you doing here?""


Right at that moment!


Ayaka heard a young man's voice nearby.


(Wow, what a cool, deep voice......)


It definitely wasn't the time to be thinking about something like that, but Ayaka always did this.


""Tsk.""


The delinquent made a click with his tongue and ran off.


(I'm okay?!)


Ayaka listened as the footsteps went farther away and timidly opened her eyes.


And there, she saw--


Pale skin.
Light brown hair.
Fine, well-shaped eyebrows.
Pants low on his hips with a rumpled shirt.
Tall... Probably at least 180 cm.


""You okay? Careful. Girls shouldn't lie on the ground like that.""


KYAAAAAAA!!!!!!!!!


Ayaka's head was still spinning like it had never spun before when the boy put his hand on Ayaka's back and helped her get up off the ground."
2,2,"""Ayaka? What's wrong?""


It was lunchtime. Chihiro called out to Ayaka in their usual corner of the classroom.


Mari stood next to her, looking worried.


Chihiro and Mari had been Ayaka's friends for a long time. The three of them got along really well, though they all had different tastes in boys...


(Which means we never fall for the same guy! It's great ♪)


But today, both of them were worried.


Of course they were. Ayaka had had her head in the clouds ever since getting to school.


""Chihiro, looking at her...""


""Yup, that must be it.""


The two of them nodded. They were sure of it. The reason Ayaka was acting like this...


...was DEFINITELY love trouble!!!!!!


They both spoke up at the same time:


""Ayaka, what happened~~~???"""
2,2,"""On the way to school, I ran into a delinquent...""


Ayaka started speaking.


""Then, a boy helped me out...""


""Wow! ♪♪♪ Was he cool?""


""...""


Ayaka's face went red. Chihiro and Mari nodded when they saw it.


""He was. Super cool... And he even rode a motorcycle...""


He did. The boy who saved her this morning had been riding a black motorcycle.


""And he even...rode together with me...to the school...""


""WHAT?!?!?!?!?!""


Chihiro and Mari looked at each other and shrieked. How could they not?


""It's dangerous.""


He'd said that as he lent her a helmet. That had really made Ayaka's heart skip a beat...


The strength left her arms and she rested her face on the cold desk.


(I wanna meet him again...)


""But y'know...""


Chihiro spoke up, like she had just noticed something.


""If he came with you to school...""


""...!""


""Maybe he's a student here??????"""
2,2,"""Ayaka, somebody's asking for you~!""


Just then, a girl in the same class who was sitting by the hallway called out to her.


(Who could it be??)


Ayaka still wanted to talk, but she decided to go out into the hall for now.


And then...right there...


""The b-boy from this morning?!""


It was the boy with the motorcycle. He was waiting in the hallway for Ayaka.


""Wh-Why...?""


""Why? It's obvious. You forgot this.""


The boy had something in one hand.


...Wait, it was Ayaka's lunchbox!!!!!!!!!


""AHH! Sorrryyyyyyyy!!!!!!""


Right.


...She'd completely forgotten.


He'd held on to the lunchbox for her since it'd be dangerous to ride together on the motorcycle otherwise."
2,2,"""...Dang, you're really clumsy, aren't you? First, the accident this morning, and now this.""


(Urk...)


He was pretty harsh.


But Ayaka didn't hate it, for some reason.


(I wonder why?)


""Just be a bit more careful.""


After saying that, he took one step towards Ayaka, and--


*kiss*


--pressed his lips against Ayaka's cheek.


Wha?


Whaaaaaaaaaaaaaaaaa?!?!?!?!?!?!


Ayaka was completely frozen.


Her heart was pounding a mile a minute.


""I like girls like you. Don't scare me too much.""


""Wa... Wait.........!!! Before you go! C-Could you tell me your name???""


""...Sure. It's Ryuto. Could you tell me your email address?""


*mumble mumble*


In a corner of the hallway, they shared contact info over the cell phone. There, right into the contacts list.


Then, the tall Ryuto seemed to notice something off in the distance.


""Ah, sorry. I gotta go. Catch ya later, Ayaka.""


He raised one hand and walked off, turning his wide back toward Ayaka.


Ayaka's knees almost buckled under her.


(Did something really incredible just happen.........???)"
3,3,"The next day.


Ayaka was on time again today. She got to school 15 minutes before class.


She couldn't sleep well, but she was looking forward to school.


But--


""Ouch!!""


Just as Ayaka took her indoor shoes out of the shoe cubby, her finger touched something sharp.


""What?!?!""


She moved her finger and picked up the sharp object.


""Huh? Is this a thumbtack...?""


A metal thumbtack for putting up things like posters. Luckily, she noticed before it had pricked her, but it made absolutely no sense for it to be in her shoe cubby.


Ayaka trembled as she took out her shoes.


""Ugh...""


Ayaka's white shoes were filled with thumbtacks. When she shook them, needles fell out too.


It couldn't be a coincidence, and she could only think of one reason for it.


""Am I being bullied...?"""
